model,feature,baseline_acc,masked_acc,acc_drop
LogisticRegression,sttl,0.977579303972898,0.9772097320603634,0.0003695719125346164
LogisticRegression,ct_state_ttl,0.977579303972898,0.5252232830304897,0.45235602094240834
LogisticRegression,dttl,0.977579303972898,0.977887280566677,-0.0003079765937789025
LogisticRegression,dload,0.977579303972898,0.977579303972898,0.0
LogisticRegression,dmean,0.977579303972898,0.977887280566677,-0.0003079765937789025
LogisticRegression,synack,0.977579303972898,0.977579303972898,0.0
LogisticRegression,tcprtt,0.977579303972898,0.9775177086541423,6.159531875571389e-05
LogisticRegression,ackdat,0.977579303972898,0.9780104712041885,-0.0004311672312904413
LogisticRegression,dbytes,0.977579303972898,0.9744379427163535,0.003141361256544517
LogisticRegression,dinpkt,0.977579303972898,0.9776408992916539,-6.159531875582491e-05
LogisticRegression,dur,0.977579303972898,0.9777024946104096,-0.0001231906375115388
LogisticRegression,rate,0.977579303972898,0.9775177086541423,6.159531875571389e-05
LogisticRegression,ct_srv_dst,0.977579303972898,0.9780104712041885,-0.0004311672312904413
LogisticRegression,sload,0.977579303972898,0.9776408992916539,-6.159531875582491e-05
LogisticRegression,sbytes,0.977579303972898,0.9773945180166307,0.00018478595626736372
LogisticRegression,dpkts,0.977579303972898,0.9766553741915615,0.0009239297813365965
LogisticRegression,sinpkt,0.977579303972898,0.9773945180166307,0.00018478595626736372
LogisticRegression,ct_srv_src,0.977579303972898,0.9779488758854327,-0.0003695719125346164
LogisticRegression,smean,0.977579303972898,0.977579303972898,0.0
LogisticRegression,ct_dst_src_ltm,0.977579303972898,0.977579303972898,0.0
LinearSVM,sttl,0.977887280566677,0.977887280566677,0.0
LinearSVM,ct_state_ttl,0.977887280566677,0.2644287034185402,0.7134585771481368
LinearSVM,dttl,0.977887280566677,0.977887280566677,0.0
LinearSVM,dload,0.977887280566677,0.977887280566677,0.0
LinearSVM,dmean,0.977887280566677,0.977887280566677,0.0
LinearSVM,synack,0.977887280566677,0.977887280566677,0.0
LinearSVM,tcprtt,0.977887280566677,0.977887280566677,0.0
LinearSVM,ackdat,0.977887280566677,0.977887280566677,0.0
LinearSVM,dbytes,0.977887280566677,0.977887280566677,0.0
LinearSVM,dinpkt,0.977887280566677,0.977887280566677,0.0
LinearSVM,dur,0.977887280566677,0.977887280566677,0.0
LinearSVM,rate,0.977887280566677,0.977887280566677,0.0
LinearSVM,ct_srv_dst,0.977887280566677,0.977887280566677,0.0
LinearSVM,sload,0.977887280566677,0.977887280566677,0.0
LinearSVM,sbytes,0.977887280566677,0.9775177086541423,0.0003695719125346164
LinearSVM,dpkts,0.977887280566677,0.977887280566677,0.0
LinearSVM,sinpkt,0.977887280566677,0.977887280566677,0.0
LinearSVM,ct_srv_src,0.977887280566677,0.977887280566677,0.0
LinearSVM,smean,0.977887280566677,0.977887280566677,0.0
LinearSVM,ct_dst_src_ltm,0.977887280566677,0.977887280566677,0.0
DecisionTree,sttl,0.9812750230982445,0.7682168155220204,0.21305820757622418
DecisionTree,ct_state_ttl,0.9812750230982445,0.9812750230982445,0.0
DecisionTree,dttl,0.9812750230982445,0.9715429627348322,0.009732060363412343
DecisionTree,dload,0.9812750230982445,0.97376039421004,0.007514628888204533
DecisionTree,dmean,0.9812750230982445,0.9711733908222975,0.01010163227594707
DecisionTree,synack,0.9812750230982445,0.9772713273791191,0.0040036957191254
DecisionTree,tcprtt,0.9812750230982445,0.9769017554665845,0.004373267631660016
DecisionTree,ackdat,0.9812750230982445,0.9809670465044656,0.0003079765937789025
DecisionTree,dbytes,0.9812750230982445,0.9612565445026178,0.020018478595626776
DecisionTree,dinpkt,0.9812750230982445,0.9754850631352018,0.005789959963042768
DecisionTree,dur,0.9812750230982445,0.9748075146288881,0.006467508469356398
DecisionTree,rate,0.9812750230982445,0.9769017554665845,0.004373267631660016
DecisionTree,ct_srv_dst,0.9812750230982445,0.9653834308592547,0.015891592238989838
DecisionTree,sload,0.9812750230982445,0.9794887588543271,0.0017862642439174792
DecisionTree,sbytes,0.9812750230982445,0.9713581767785648,0.009916846319679706
DecisionTree,dpkts,0.9812750230982445,0.981706190329535,-0.0004311672312904413
DecisionTree,sinpkt,0.9812750230982445,0.9786264243917462,0.002648598706498362
DecisionTree,ct_srv_src,0.9812750230982445,0.9630428087465353,0.018232214351709297
DecisionTree,smean,0.9812750230982445,0.9769633507853404,0.004311672312904191
DecisionTree,ct_dst_src_ltm,0.9812750230982445,0.9749923005851555,0.006282722513089034
RandomForest,sttl,0.9863874345549738,0.770495842315984,0.2158915922389898
RandomForest,ct_state_ttl,0.9863874345549738,0.9863874345549738,0.0
RandomForest,dttl,0.9863874345549738,0.9871881736987989,-0.0008007391438250577
RandomForest,dload,0.9863874345549738,0.9842315983985217,0.0021558361564520956
RandomForest,dmean,0.9863874345549738,0.9807822605481984,0.005605174006775404
RandomForest,synack,0.9863874345549738,0.9860178626424392,0.0003695719125346164
RandomForest,tcprtt,0.9863874345549738,0.9868186017862642,-0.0004311672312904413
RandomForest,ackdat,0.9863874345549738,0.9866338158299969,-0.0002463812750230776
RandomForest,dbytes,0.9863874345549738,0.9813366184170003,0.005050816137973535
RandomForest,dinpkt,0.9863874345549738,0.9859562673236834,0.0004311672312904413
RandomForest,dur,0.9863874345549738,0.9866954111487527,-0.0003079765937789025
RandomForest,rate,0.9863874345549738,0.9865106251924853,-0.0001231906375115388
RandomForest,ct_srv_dst,0.9863874345549738,0.9857098860486603,0.0006775485063135189
RandomForest,sload,0.9863874345549738,0.9860794579611949,0.0003079765937789025
RandomForest,sbytes,0.9863874345549738,0.9847859562673237,0.0016014782876501155
RandomForest,dpkts,0.9863874345549738,0.9863874345549738,0.0
RandomForest,sinpkt,0.9863874345549738,0.9861410532799507,0.0002463812750230776
RandomForest,ct_srv_src,0.9863874345549738,0.9860178626424392,0.0003695719125346164
RandomForest,smean,0.9863874345549738,0.9846627656298121,0.0017246689251616543
RandomForest,ct_dst_src_ltm,0.9863874345549738,0.9857098860486603,0.0006775485063135189
KNN,sttl,0.9796119494918386,0.7878041268863566,0.19180782260548201
KNN,ct_state_ttl,0.9796119494918386,0.9793655682168155,0.0002463812750230776
KNN,dttl,0.9796119494918386,0.9493070526639975,0.0303048968278411
KNN,dload,0.9796119494918386,0.9796735448105944,-6.159531875582491e-05
KNN,dmean,0.9796119494918386,0.9783184477979674,0.001293501693871213
KNN,synack,0.9796119494918386,0.976778564829073,0.0028333846627656145
KNN,tcprtt,0.9796119494918386,0.9780104712041885,0.0016014782876501155
KNN,ackdat,0.9796119494918386,0.9767169695103172,0.0028949799815214394
KNN,dbytes,0.9796119494918386,0.9766553741915615,0.0029565753002771533
KNN,dinpkt,0.9796119494918386,0.9773945180166307,0.0022174314752079205
KNN,dur,0.9796119494918386,0.9785032337542346,0.0011087157376039602
KNN,rate,0.9796119494918386,0.9796119494918386,0.0
KNN,ct_srv_dst,0.9796119494918386,0.9767169695103172,0.0028949799815214394
KNN,sload,0.9796119494918386,0.9796119494918386,0.0
KNN,sbytes,0.9796119494918386,0.9795503541730829,6.159531875571389e-05
KNN,dpkts,0.9796119494918386,0.9769633507853404,0.002648598706498251
KNN,sinpkt,0.9796119494918386,0.9781336618417,0.0014782876501385767
KNN,ct_srv_src,0.9796119494918386,0.9770249461040961,0.002587003387742537
KNN,smean,0.9796119494918386,0.9791191869417925,0.0004927625500461552
KNN,ct_dst_src_ltm,0.9796119494918386,0.977332922697875,0.0022790267939636344
MLP,sttl,0.9809670465044656,0.7947643979057591,0.1862026485987065
MLP,ct_state_ttl,0.9809670465044656,0.9802279026793964,0.0007391438250692328
MLP,dttl,0.9809670465044656,0.953002771789344,0.02796427471512164
MLP,dload,0.9809670465044656,0.9810902371419772,-0.0001231906375115388
MLP,dmean,0.9809670465044656,0.9765321835540499,0.00443486295041573
MLP,synack,0.9809670465044656,0.9794271635355712,0.0015398829688944016
MLP,tcprtt,0.9809670465044656,0.9783800431167231,0.002587003387742537
MLP,ackdat,0.9809670465044656,0.9793655682168155,0.0016014782876501155
MLP,dbytes,0.9809670465044656,0.9796119494918386,0.0013550970126270379
MLP,dinpkt,0.9809670465044656,0.9771481367416076,0.003818909762858036
MLP,dur,0.9809670465044656,0.979242377579304,0.0017246689251616543
MLP,rate,0.9809670465044656,0.9807206652294426,0.0002463812750230776
MLP,ct_srv_dst,0.9809670465044656,0.9764705882352941,0.004496458269171555
MLP,sload,0.9809670465044656,0.9808438558669541,0.0001231906375115388
MLP,sbytes,0.9809670465044656,0.9794887588543271,0.0014782876501385767
MLP,dpkts,0.9809670465044656,0.9746227286726209,0.006344317831844748
MLP,sinpkt,0.9809670465044656,0.9778256852479211,0.003141361256544517
MLP,ct_srv_src,0.9809670465044656,0.9801663073606406,0.0008007391438250577
MLP,smean,0.9809670465044656,0.978688019710502,0.0022790267939636344
MLP,ct_dst_src_ltm,0.9809670465044656,0.9799199260856175,0.0010471204188481353
