model,ct_state_ttl,sttl,dttl,dbytes,ct_srv_dst,ct_srv_src,dmean,sbytes,dinpkt,ct_dst_src_ltm,dload,dpkts,dur,smean,synack,tcprtt,sinpkt,rate,ackdat,sload
DecisionTree,0.0,0.21305820757622418,0.009732060363412343,0.020018478595626776,0.015891592238989838,0.018232214351709297,0.01010163227594707,0.009916846319679706,0.005789959963042768,0.006282722513089034,0.007514628888204533,-0.0004311672312904413,0.006467508469356398,0.004311672312904191,0.0040036957191254,0.004373267631660016,0.002648598706498362,0.004373267631660016,0.0003079765937789025,0.0017862642439174792
KNN,0.0002463812750230776,0.19180782260548201,0.0303048968278411,0.0029565753002771533,0.0028949799815214394,0.002587003387742537,0.001293501693871213,6.159531875571389e-05,0.0022174314752079205,0.0022790267939636344,-6.159531875582491e-05,0.002648598706498251,0.0011087157376039602,0.0004927625500461552,0.0028333846627656145,0.0016014782876501155,0.0014782876501385767,0.0,0.0028949799815214394,0.0
LinearSVM,0.7134585771481368,0.0,0.0,0.0,0.0,0.0,0.0,0.0003695719125346164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LogisticRegression,0.45235602094240834,0.0003695719125346164,-0.0003079765937789025,0.003141361256544517,-0.0004311672312904413,-0.0003695719125346164,-0.0003079765937789025,0.00018478595626736372,-6.159531875582491e-05,0.0,0.0,0.0009239297813365965,-0.0001231906375115388,0.0,0.0,6.159531875571389e-05,0.00018478595626736372,6.159531875571389e-05,-0.0004311672312904413,-6.159531875582491e-05
MLP,0.0007391438250692328,0.1862026485987065,0.02796427471512164,0.0013550970126270379,0.004496458269171555,0.0008007391438250577,0.00443486295041573,0.0014782876501385767,0.003818909762858036,0.0010471204188481353,-0.0001231906375115388,0.006344317831844748,0.0017246689251616543,0.0022790267939636344,0.0015398829688944016,0.002587003387742537,0.003141361256544517,0.0002463812750230776,0.0016014782876501155,0.0001231906375115388
RandomForest,0.0,0.2158915922389898,-0.0008007391438250577,0.005050816137973535,0.0006775485063135189,0.0003695719125346164,0.005605174006775404,0.0016014782876501155,0.0004311672312904413,0.0006775485063135189,0.0021558361564520956,0.0,-0.0003079765937789025,0.0017246689251616543,0.0003695719125346164,-0.0004311672312904413,0.0002463812750230776,-0.0001231906375115388,-0.0002463812750230776,0.0003079765937789025
